75,tehran,زمزم,51.3734007,35.6526236,بزرگراه شهید چراغی ، میدان سپیده کاشانی ایستگاه زمزم
76,tehran,شهرک شریعتی,51.3692808,35.6442889,بزرگراه شهید چراغی  ابتدای خیابان  مهران شمالی و مهران جنوبی
77,tehran,عبدل آباد,51.3601398,35.6381157,بزرگراه شهید چراغی ، ابتدای خیابان ورزش ایستگاه عبدل آباد
78,tehran,نعمت آباد,51.3471794,35.6336163,اتوبان آیت ا..سعیدی نبش خیابان سهیل
79,tehran,آزادگان,51.3354635,35.6273726,ورودی جنوبی - تقاطع بزرگراه آیت الله سعیدی و خیابان شهید حیدری
80,tehran,کلاهدوز,51.5003443,35.6987802,میدان شهید کلاهدوز-ابتدای اتوبان یاسینی شمال
81,tehran,نیرو هوایی,51.4880061,35.6927855,انتهای خیابان پیروزی - ابتدای کوچه پنجم شرقی - ایستگاه مترو نیرو هوایی
82,tehran,نبرد,51.4774811,35.691583,خیابان پیروزی بعد از جعفرنژاد جنب پاساژ کساء
83,tehran,پیروزی,51.4679432,35.6909034,خیابان پیروزی نبش خیابان پورمند
84,tehran,ابن سینا,51.4565706,35.6904503,خیابان پیروزی-نبش اتوبان امام علی
85,tehran,میدان شهدا,51.4476013,35.6901888,میدان شهدا
86,tehran,دروازه شمیران,51.4377308,35.6991635,خیابان ابن سینا  - میدان ابن سینا
87,tehran,دروازه دولت,51.4261007,35.7016379,تقاطع خیابان انقلاب و خیابان سعدی
88,tehran,فردوسی,51.4185047,35.7013069,میدان فردوسی
89,tehran,تئاتر شهر,51.4053297,35.7010455,تقاطع خیابان انقلاب و خیابان ولیعصر(عج)
90,tehran,میدان انقلاب اسلامی,51.3899016,35.7009235,میدان انقلاب اسلامی . خ آزادی . داخل کوچه جنتی
91,tehran,توحید,51.3785505,35.7008538,خیابان آزادی ،شمال شرقی تقاطع خیابان شهید نواب صفوی و خیابان آزادی
92,tehran,شادمان,51.3637018,35.7007928,خیابان آزادی -بین خیابان بهبودی و خیابان شادمان
93,tehran,دکتر حبیب اله,51.3557249,35.7006708,خیابان آزادی بعد از یادگار امام کوچه نورزاد
94,tehran,استاد معین,51.3446045,35.7002613,خیایان آزادی - نرسیده به میدان آزادی - تقاطع خیایان نوربخش
95,tehran,میدان آزادی,51.333189,35.7009758,میدان آزادی
96,tehran,بیمه,51.3201857,35.6992332,میدان آزادی بزرگراه مخصوص بعد از سه راهی فرودگاه نبش خیابان آزمون نیا (بیمه دوم)
97,tehran,شهرک اکباتان,51.3071609,35.7055411,شهرک اکباتان فاز2 بلوار صارمی
98,tehran,ارم سبز,51.3019466,35.7177893,بزرگراه شهید ستاری ، فردوس غرب ، انتهای شقایق (جنب پارک ارم)
99,tehran,پایانه 1 و 2 فرودگاه مهرآباد,51.3241017,35.6925938,بزرگراه لشگری، معراج
100,tehran,پایانه 4 و 6 فرودگاه مهرآباد,51.3306999,35.6895702,بزرگراه لشگری، معراج، حجاج، پرواز
101,tehran,صادقیه,51.3309145,35.7175977,فلکه دوم صادقیه - خیابان محمد علی جناح  - خیابان سازمان آب
102,tehran,ارم سبز,51.3019466,35.7177893,بزرگراه شهید ستاری ، فردوس غرب ، انتهای شقایق (جنب پارک ارم)
103,tehran,ورزشگاه آزادی,51.2812185,35.7166918,بلوار دهکده ضلع شرقی ا ستادیوم آزادی
104,tehran,چیتگر,51.2438393,35.7169705,اتوبان تهران ، کرج -  ورودی دوم پارک  جنگلی چیتگر - خیابان کوهک
105,tehran,ایران خودرو,51.1966753,35.7253673,اتوبان تهران ، کرج - پیکان شهر
106,tehran,ورد آورد,51.1507559,35.7437606,اردستانی، دانش، بینش
107,tehran,گرم دره,51.0816622,35.7511446,کیلومتر 24 اتوبان تهران کرج بعد از پادگان  شهید انارکی روبروی پارک آبی
108,tehran,البرز,51.0468149,35.7670944,ایران
109,tehran,کرج,51.0024405,35.7868009,کرج - پل فردیس - جنب میدان مترو - ابتدای جاده ملارد
110,tehran,محمد شهر,50.9648895,35.8023608,کرج ضلع جنوبی اتوبان قزوین تهران روبروی ترمینال  شهید کلانتری خروجی محمدشهر
111,tehran,گلشهر,50.9330463,35.8249467,خیابان 45 متری گلشهر - خیابان اختر غربی
112,mashhad,ایستگاه مترو وکیل آباد,59.4422418,36.3462582,بلوار زعفرانیه، بلوار امام رضا
113,mashhad,ایستگاه مترو کوهستان پارک,59.4524998,36.3427593,برونسی، بلوار وکیل آباد
114,mashhad,ایستگاه مترو نمایشگاه,59.4633651,36.3392987,بلوار وکیل آباد
115,mashhad,ایستگاه مترو اقبال لاهوری,59.4745192,36.3358293,بلوار وکیل آباد
116,mashhad,ایستگاه مترو صیاد شیرازی,59.4849096,36.3325655,بلوار وکیل آباد، بلوار صیاد شیرازی
117,mashhad,ایستگاه مترو صدف,59.4934114,36.3299218,بلوار وکیل آباد
118,mashhad,ایستگاه مترو هفت تیر,59.4998894,36.3278995,مفتح جنوبی، مفتح
119,mashhad,ایستگاه مترو دانش آموز,59.509247,36.3249942,بلوار هنرستان، وکیل آباد
120,mashhad,ایستگاه مترو سید رضی,59.5168327,36.322606,بلوار وکیل آباد
121,mashhad,ایستگاه مترو صدف,59.5250846,36.3200625,بلوار وکیل آباد
122,mashhad,ایستگاه مترو پارک ملت,59.5338994,36.3173698,بلوار وکیل آباد
123,mashhad,ایستگاه مترو آزادی,59.5445583,36.3127796,بزرگراه لشگری
124,mashhad,ایستگاه مترو خیام,59.5524523,36.3075829,بلوار ملک آباد
125,mashhad,ایستگاه مترو فلسطین,59.5631985,36.3007119,بلوار احمدآباد
126,mashhad,ایستگاه مترو طالقانی,59.5726454,36.2972625,بلوار احمدآباد
127,mashhad,ایستگاه مترو قائم,59.5785852,36.2945201,بلوار شهید کلاهدوز، بلوار احمدآباد
128,mashhad,ایستگاه مترو شریعتی,59.5858526,36.2911467,بلوار دکتر شریعتی
129,mashhad,ایستگاه مترو امام خمینی,59.5961261,36.2815061,خیام، امام خمینی
130,mashhad,ایستگاه مترو بسیج,59.6029435,36.2735783,بزرگراه بسیج
131,mashhad,ایستگاه مترو هفده شهریور,59.6088491,36.2677877,بلوار فداییان اسلام
132,mashhad,ایستگاه مترو پروین اعتصامی,59.6143246,36.2625697,بلوار فداییان اسلام
133,mashhad,ایستگاه مترو غدیر,59.6907,36.3027351,بلوار فداییان اسلام
134,mashhad,ایستگاه مترو بوستان ریحانه,59.6238283,36.2436137,شهدای حافظان آسمان، بلوار جمهوری اسلامی
135,mashhad,ایستگاه مترو فرودگاه شهید هاشمی نژاد,59.6405811,36.229113,شهدای حافظان آسمان، بلوار جمهوری اسلامی
136,mashhad,ایستگاه مترو طبرسی,59.6752775,36.3251614,بزرگراه شهید بابانظر، بلوار طبرسی شمالی
137,mashhad,ایستگاه مترو ولایت,59.6622205,36.3170033,بزرگراه شهید بابانظر، بلوار طبرسی شمالی
138,mashhad,ایستگاه مترو فجر,59.6549892,36.3124992,بزرگراه شهید بابانظر
139,mashhad,ایستگاه مترو نبوت,59.6441317,36.3057145,بلوار مقداد، بلوار طبرسی جنوبی
140,mashhad,ایستگاه مترو شهید مفتح,59.6328423,36.298733,مطهری، مفتح شمالی
141,mashhad,ایستگاه مترو راه آهن,59.6223172,36.3034212,شوش، میدان راه آهن
142,mashhad,ایستگاه مترو شهدا,59.6635235,36.549436,آیت الله شیرازی (بالا خیابان)، میدان شهدا
143,mashhad,ایستگاه مترو سعدی,59.5983946,36.2953926,جمهوری اسلامی، سعدی شمالی
144,mashhad,ایستگاه مترو شریعتی,59.586146,36.2913104,بزرگراه چراغی
145,mashhad,ایستگاه مترو الندشت,59.5776451,36.288174,کوهسنگی
146,mashhad,ایستگاه مترو کوهسنگی,59.5632094,36.2833226,بلوار ابوذر غفاری، کوهسنگی 23، کوهسنگی
147,mashhad,ایستگاه مترو شهید کاوه,59.5502328,36.2845591,بلوار شهید کاوه
148,mashhad,ایستگاه مترو شهید جوان (سلامت),59.5444742,36.2833174,بزرگراه شهید رئیسی، 17 شهریور
149,shiraz,ایستگاه مترو شهید دوران,52.5945361,29.5586161,بلوار مدرس
150,shiraz,ایستگاه مترو شهید دستغیب,52.5992088,29.5517661,میدان الله
151,shiraz,ایستگاه مترو فرصت شیرازی,52.5902786,29.5645405,بلوار مدرس
152,shiraz,ایستگاه مترو جانبازان,52.5852751,29.5722625,مدنی، جانبازان غربی
153,shiraz,ایستگاه مترو غدیر,52.5791018,29.5807112,بلوار فداییان اسلام
154,shiraz,ایستگاه مترو رازی,52.5741802,29.587552,بلوار مدرس
155,shiraz,ایستگاه مترو فضیلت,52.5677577,29.596148,بلوار مدرس
156,shiraz,ایستگاه مترو کاوه,52.5630037,29.6026532,ابو نعیم (5)
157,shiraz,ایستگاه مترو ولیعصر,52.5585002,29.6082313,ولیعصر، بلوار کشاورز
158,shiraz,ایستگاه مترو وکیل الرعیا,52.5514852,29.612695,بلوار زعفرانیه، بلوار امام رضا
159,shiraz,ایستگاه مترو زندیه,52.5408013,29.6186267,بلوار کریمخان زند
160,shiraz,ایستگاه مترو امام حسین,52.5320191,29.624133,بزرگراه شهید صیاد شیرازی، خواجه نصیرالدین طوسی
161,shiraz,ایستگاه مترو نمازی,52.5189695,29.631234,میدان نمازی
162,shiraz,ایستگاه مترو شهید آوینی,52.5115066,29.6310963,قصردشت، شهید آوینی
163,shiraz,ایستگاه مترو شهید مطهری,52.5020067,29.6383441,زیرگذر مطهری شمالی
164,shiraz,ایستگاه مترو قصردشت,52.4852742,29.6545213,بزرگراه سردار سلیمانی
165,shiraz,ایستگاه مترو شاهد ,52.4863107,29.6658657,بلوار امام خمینی
166,shiraz,ایستگاه مترو میرزای شیرازی,52.4731758,29.6858321,بزرگراه مدرس، شهید بهشتی
167,shiraz,ایستگاه مترو دکتر شریعتی,52.4648807,29.6824856,بلوار دکتر شریعتی
168,shiraz,ایستگاه مترو احسان,52.4545857,29.6786968,بلوار پرستار
169,shiraz,ایستگاه مترو شکوفه,52.4789107,29.5757227,تونل امیرکبیر، امیرکبیر
170,shiraz,ایستگاه مترو قهرمانان,52.4960267,29.5703196,بلوار گل بهار
